"output_prefix","name","motif_id","cluster","total_tfbs","shCol7_mean_score","shCol7_bound","shC_mean_score","shC_bound","shCol7_shC_change","shCol7_shC_pvalue","shCol7_shC_highlighted","diffexpressed","labels"
"NFYA_MA0060.3","NFYA","MA0060.3","C_NFYA",30918,0.23576,12030,0.22068,11159,0.27998,5.86737e-167,"True","UP","NFYA"
"CEBPG_MA0838.1","CEBPG","MA0838.1","C_CEBPA",16426,0.15136,6413,0.16379,7113,-0.27508,1.02612e-158,"True","DOWN","CEBPG"
"CEBPE_MA0837.2","CEBPE","MA0837.2","C_CEBPA",11452,0.15003,4537,0.16219,5018,-0.27134,1.07673e-141,"True","DOWN","CEBPE"
"CEBPB_MA0466.3","CEBPB","MA0466.3","C_CEBPA",9985,0.1518,3973,0.16368,4384,-0.25514,6.03439e-144,"True","DOWN","CEBPB"
"CEBPD_MA0836.2","CEBPD","MA0836.2","C_CEBPA",44070,0.12639,15053,0.13895,16777,-0.25014,3.33241e-173,"True","DOWN","CEBPD"
"NFYC_MA1644.1","NFYC","MA1644.1","C_NFYA",33297,0.22056,12708,0.20719,11882,0.24948,3.54774e-160,"True","UP","NFYC"
"VEZF1_MA1578.1","VEZF1","MA1578.1","C_VEZF1",29848,0.12361,8155,0.11459,7662,0.24621,2.70416e-167,"True","UP","VEZF1"
"CEBPA_MA0102.4","CEBPA","MA0102.4","C_CEBPA",49982,0.12157,16605,0.13281,18419,-0.23553,2.88398e-168,"True","DOWN","CEBPA"
"YY2_MA0748.2","YY2","MA0748.2","C_YY2",18194,0.22031,9041,0.20549,8662,0.22732,7.01401e-149,"True","UP","YY2"
"KLF15_MA1513.1","KLF15","MA1513.1","C_PATZ1",90606,0.31255,51339,0.29092,50150,0.21204,1.6816e-177,"True","UP","KLF15"
"ZBTB7B_MA0694.1","ZBTB7B","MA0694.1","C_ZBTB7B",20454,0.1208,5863,0.11235,5510,0.21146,3.56201e-149,"True","UP","ZBTB7B"
"ETS1_MA0098.3","ETS1","MA0098.3","C_ERF",25684,0.22685,12267,0.21461,11718,0.20925,1.42205e-151,"True","UP","ETS1"
"FLI1_MA0475.2","FLI1","MA0475.2","C_ERF",18867,0.25123,9663,0.23763,9287,0.2079,1.38436e-143,"True","UP","FLI1"
"ETS2_MA1484.1","ETS2","MA1484.1","C_ERF",22032,0.23762,10657,0.2251,10212,0.20483,2.94897e-151,"True","UP","ETS2"
"SPDEF_MA0686.1","SPDEF","MA0686.1","C_SPDEF",15606,0.21254,6835,0.20115,6542,0.19984,3.53595e-137,"True","UP","SPDEF"
"ETV4_MA0764.3","ETV4","MA0764.3","C_ERF",15996,0.31034,8982,0.29406,8722,0.19896,3.14883e-141,"True","UP","ETV4"
"FEV_MA0156.3","FEV","MA0156.3","C_ERF",17154,0.27404,9111,0.25966,8836,0.19719,3.27109e-140,"True","UP","FEV"
"ERF_MA0760.1","ERF","MA0760.1","C_ERF",23529,0.22444,11107,0.21268,10660,0.19588,1.83126e-146,"True","UP","ERF"
"SP9_MA1564.1","SP9","MA1564.1","C_KLF9",103571,0.26336,48207,0.24517,46930,0.19539,1.20648e-184,"True","UP","SP9"
"ETV5_MA0765.3","ETV5","MA0765.3","C_ERF",15109,0.30635,8460,0.29061,8237,0.19495,2.66574e-140,"True","UP","ETV5"
"TCFL5_MA0632.2","TCFL5","MA0632.2","C_TCFL5",18249,0.2712,9957,0.2538,9780,0.19337,1.7266e-145,"True","UP","TCFL5"
"Nrf1_MA0506.2","Nrf1","MA0506.2","C_Nrf1",32712,0.2867,18026,0.26923,17638,0.19279,1.52314e-151,"True","UP","Nrf1"
"TFDP1_MA1122.1","TFDP1","MA1122.1","C_E2F6",37962,0.25646,19555,0.24183,19165,0.19266,1.2898e-161,"True","UP","TFDP1"
"CTCFL_MA1102.2","CTCFL","MA1102.2","C_CTCFL",83652,0.19145,35580,0.18067,34233,0.19179,4.23808e-176,"True","UP","CTCFL"
"KLF16_MA0741.1","KLF16","MA0741.1","C_KLF9",124305,0.23005,52709,0.21525,51363,0.19173,4.22224e-179,"True","UP","KLF16"
"KLF10_MA1511.2","KLF10","MA1511.2","C_KLF4",145519,0.23391,62722,0.21914,60970,0.19148,6.48518e-190,"True","UP","KLF10"
"KLF7_MA1959.1","KLF7","MA1959.1","C_KLF4",120716,0.2542,54953,0.23813,53534,0.1908,7.17994e-190,"True","UP","KLF7"
"ZNF148_MA1653.1","ZNF148","MA1653.1","C_ZNF148",174911,0.20245,70243,0.19044,68163,0.19066,1.09789e-189,"True","UP","ZNF148"
"KLF14_MA0740.2","KLF14","MA0740.2","C_KLF4",136640,0.24652,60882,0.2308,59244,0.19036,4.07778e-188,"True","UP","KLF14"
"KLF12_MA0742.2","KLF12","MA0742.2","C_KLF4",112919,0.26829,54343,0.25008,52923,0.19035,3.99904e-179,"True","UP","KLF12"
"FOS_MA0476.1","FOS","MA0476.1","C_FOSL1",128862,0.22487,66619,0.23694,70315,-0.19017,2.96592e-181,"True","DOWN","FOS"
"ELK3_MA0759.2","ELK3","MA0759.2","C_ERF",15366,0.32749,8943,0.3101,8740,0.18961,1.1396e-130,"True","UP","ELK3"
"GLIS2_MA0736.1","GLIS2","MA0736.1","C_GLIS2",28989,0.14758,9185,0.13998,8861,0.18926,1.41935e-152,"True","UP","GLIS2"
"PATZ1_MA1961.1","PATZ1","MA1961.1","C_PATZ1",191183,0.22131,83273,0.20812,80831,0.18853,4.9483e-182,"True","UP","PATZ1"
"CEBPG_MA1636.1","CEBPG","MA1636.1","C_CEBPG",56032,0.12505,19220,0.13306,20924,-0.18789,3.40249e-164,"True","DOWN","CEBPG"
"ELK1_MA0028.2","ELK1","MA0028.2","C_ERF",16480,0.29831,9060,0.28274,8825,0.18777,2.53947e-140,"True","UP","ELK1"
"MAZ_MA1522.1","MAZ","MA1522.1","C_ZNF148",122533,0.19099,47606,0.18009,46112,0.18741,6.70848e-184,"True","UP","MAZ"
"SP3_MA0746.2","SP3","MA0746.2","C_KLF9",110355,0.25848,50562,0.24168,49306,0.18632,3.54399e-180,"True","UP","SP3"
"FOSJUND_MA1141.1","FOS::JUND","MA1141.1","C_FOSL1",125361,0.22999,65967,0.24209,69370,-0.1863,2.45533e-185,"True","DOWN","FOS::JUND"
"SP1_MA0079.5","SP1","MA0079.5","C_SP1",130668,0.23535,58607,0.2205,56994,0.1863,3.66309e-184,"True","UP","SP1"
"BNC2_MA1928.1","BNC2","MA1928.1","C_FOSL1",122095,0.22769,63186,0.24013,66697,-0.18575,9.87459e-180,"True","DOWN","BNC2"
"FOSL1JUN_MA1128.1","FOSL1::JUN","MA1128.1","C_FOSL1",124879,0.22747,65398,0.2392,68881,-0.18487,1.53743e-186,"True","DOWN","FOSL1::JUN"
"SP2_MA0516.3","SP2","MA0516.3","C_SP1",128946,0.27073,61783,0.25269,60321,0.18459,9.03592e-181,"True","UP","SP2"
"ZNF610_MA1713.1","ZNF610","MA1713.1","C_ZNF610",70252,0.2342,35184,0.22209,34396,0.18385,1.77853e-168,"True","UP","ZNF610"
"Jun_MA0489.2","Jun","MA0489.2","C_FOSL1",128516,0.22544,66456,0.23745,70067,-0.18351,9.92637e-181,"True","DOWN","Jun"
"FOSL2JUN_MA1130.1","FOSL2::JUN","MA1130.1","C_FOSL1",116679,0.23111,61718,0.24278,64925,-0.18284,1.69812e-181,"True","DOWN","FOSL2::JUN"
"ZNF740_MA0753.2","ZNF740","MA0753.2","C_ZNF740",91280,0.16312,31277,0.15514,30317,0.18189,2.85261e-176,"True","UP","ZNF740"
"Atf3_MA1988.1","Atf3","MA1988.1","C_FOSL1",133125,0.22344,68233,0.23516,71830,-0.18138,1.47313e-181,"True","DOWN","Atf3"
"BATFJUN_MA0462.2","BATF::JUN","MA0462.2","C_FOSL1",129537,0.22129,66052,0.23281,69517,-0.18107,8.61562e-186,"True","DOWN","BATF::JUN"
"BATF_MA1634.1","BATF","MA1634.1","C_FOSL1",129136,0.22114,65820,0.23267,69274,-0.18082,1.27184e-185,"True","DOWN","BATF"
"BATF3_MA0835.2","BATF3","MA0835.2","C_FOSL1",133726,0.21791,67469,0.22936,71069,-0.18075,1.22371e-183,"True","DOWN","BATF3"
"FOSL1_MA0477.2","FOSL1","MA0477.2","C_FOSL1",125205,0.22677,65326,0.23859,68724,-0.18056,5.15781e-179,"True","DOWN","FOSL1"
"FOSL2JUNB_MA1138.1","FOSL2::JUNB","MA1138.1","C_FOSL1",116500,0.22777,61147,0.23904,64291,-0.18,5.54054e-179,"True","DOWN","FOSL2::JUNB"
"FOSBJUNB_MA1135.1","FOSB::JUNB","MA1135.1","C_FOSL1",115245,0.22953,60663,0.2409,63748,-0.17978,1.81398e-183,"True","DOWN","FOSB::JUNB"
"FOSL1JUNB_MA1137.1","FOSL1::JUNB","MA1137.1","C_FOSL1",118114,0.22275,61329,0.23361,64611,-0.17955,7.29392e-184,"True","DOWN","FOSL1::JUNB"
"CTCF_MA0139.1","CTCF","MA0139.1","C_CTCF",88982,0.1822,41850,0.17405,40163,0.17936,6.85303e-171,"True","UP","CTCF"
"FOSJUNB_MA1134.1","FOS::JUNB","MA1134.1","C_FOSL1",111448,0.23026,58949,0.24163,61961,-0.17912,2.6152e-179,"True","DOWN","FOS::JUNB"
"NFKB2_MA0778.1","NFKB2","MA0778.1","C_NFKB1",30408,0.11065,7815,0.10516,7516,0.17842,1.61814e-145,"True","UP","NFKB2"
"JUNB_MA0490.2","JUNB","MA0490.2","C_FOSL1",120964,0.21921,62138,0.22997,65376,-0.17759,3.39549e-181,"True","DOWN","JUNB"
"FOSJUN_MA0099.3","FOS::JUN","MA0099.3","C_FOSL1",113053,0.23032,59704,0.24165,62774,-0.17754,2.54731e-181,"True","DOWN","FOS::JUN"
"FOSL2JUND_MA1144.1","FOSL2::JUND","MA1144.1","C_FOSL1",112851,0.22953,59558,0.24069,62584,-0.17679,1.08e-180,"True","DOWN","FOSL2::JUND"
"FOSL1JUND_MA1142.1","FOSL1::JUND","MA1142.1","C_FOSL1",116202,0.21905,59787,0.22945,62861,-0.17658,1.15215e-178,"True","DOWN","FOSL1::JUND"
"BACH1_MA1633.2","BACH1","MA1633.2","C_FOSL1",120154,0.22588,62512,0.23692,65596,-0.1763,1.84037e-180,"True","DOWN","BACH1"
"ZNF281_MA1630.2","ZNF281","MA1630.2","C_ZNF281",191777,0.18219,72155,0.17259,69962,0.1757,3.7946e-191,"True","UP","ZNF281"
"JUND_MA0491.2","JUND","MA0491.2","C_FOSL1",116970,0.22203,60583,0.2328,63634,-0.17554,3.02593e-174,"True","DOWN","JUND"
"ZBTB7C_MA0695.1","ZBTB7C","MA0695.1","C_ZBTB7B",23555,0.12881,7029,0.12249,6681,0.17452,9.06109e-146,"True","UP","ZBTB7C"
"ELK4_MA0076.2","ELK4","MA0076.2","C_ERF",38298,0.23552,18266,0.22515,17766,0.1733,5.08894e-155,"True","UP","ELK4"
"HLF_MA0043.3","HLF","MA0043.3","C_NFIL3",34662,0.13068,12565,0.13773,13534,-0.17321,5.24887e-154,"True","DOWN","HLF"
"SP8_MA0747.1","SP8","MA0747.1","C_KLF9",105416,0.21081,41798,0.1981,40764,0.17294,6.6293e-173,"True","UP","SP8"
"SOHLH2_MA1560.1","SOHLH2","MA1560.1","C_MYC",11330,0.16764,4039,0.16068,3943,0.17098,6.53139e-121,"True","UP","SOHLH2"
"BHLHE40_MA0464.2","BHLHE40","MA0464.2","C_ARNT2",13408,0.18823,5125,0.1776,4973,0.17002,2.83134e-127,"False","UP","BHLHE40"
"ZIC5_MA1584.1","ZIC5","MA1584.1","C_ZIC5",43374,0.17883,16938,0.17069,16463,0.16755,5.53369e-154,"False","UP","ZIC5"
"ETV2_MA0762.1","ETV2","MA0762.1","C_ERF",27539,0.18578,11696,0.17729,11305,0.16684,4.51819e-145,"False","UP","ETV2"
"PLAGL2_MA1548.1","PLAGL2","MA1548.1","C_PLAGL2",40558,0.13089,11649,0.12638,11303,0.16604,4.08157e-152,"False","UP","PLAGL2"
"KLF5_MA0599.1","KLF5","MA0599.1","C_KLF4",187811,0.21404,76180,0.20318,74222,0.16516,2.90299e-183,"True","UP","KLF5"
"ARNT2_MA1464.1","ARNT2","MA1464.1","C_ARNT2",14383,0.19794,5708,0.18743,5554,0.16477,5.06559e-128,"False","UP","ARNT2"
"HINFP_MA0131.2","HINFP","MA0131.2","C_HINFP",15402,0.22291,7413,0.21221,7278,0.164,2.72958e-135,"False","UP","HINFP"
"BHLHE41_MA0636.1","BHLHE41","MA0636.1","C_BHLHE41",10299,0.20888,4240,0.19638,4118,0.16349,1.1036e-123,"False","UP","BHLHE41"
"SP4_MA0685.2","SP4","MA0685.2","C_KLF4",146378,0.23145,62773,0.21849,61356,0.16342,4.42851e-183,"True","UP","SP4"
"KLF13_MA0657.1","KLF13","MA0657.1","C_KLF13",32980,0.22351,14054,0.20961,13675,0.16266,4.18914e-146,"False","UP","KLF13"
"ZBTB14_MA1650.1","ZBTB14","MA1650.1","C_ZBTB14",37547,0.25531,19430,0.24139,19138,0.1626,5.70763e-156,"False","UP","ZBTB14"
"ZIC4_MA0751.1","ZIC4","MA0751.1","C_ZIC5",42727,0.16425,15853,0.1581,15378,0.16184,1.78673e-152,"False","UP","ZIC4"
"NFIL3_MA0025.2","NFIL3","MA0025.2","C_NFIL3",39056,0.11955,13127,0.12577,14132,-0.16107,1.1851e-146,"True","DOWN","NFIL3"
"MNT_MA0825.1","MNT","MA0825.1","C_MYC",17883,0.17215,6561,0.16497,6379,0.16093,4.50235e-131,"False","UP","MNT"
"KLF4_MA0039.4","KLF4","MA0039.4","C_KLF4",198701,0.19445,75752,0.18564,73974,0.16077,1.15774e-185,"True","UP","KLF4"
"JUNJUNB_MA1132.1","JUN::JUNB","MA1132.1","C_FOSL1",92028,0.22147,47800,0.2308,50083,-0.16056,3.21467e-163,"True","DOWN","JUN::JUNB"
